नमस्ते	నమస్కారం
आपका पसंदीदा खेल कौन सा है?	మీకు ఇష్టమైన ఆట ఏది?
मैं पढ़ाई कर रहा हूँ।	నేను చదువుతున్నాను.
क्या तुम मुझे अपना घर दिखा सकते हो?	మీరు నాకు మీ ఇల్లు చూపించగలరా?
मुझे हंसना पसंद है।	నాకు నవ్వడం ఇష్టం.
आप यहाँ कितने समय से हैं?	మీరు ఇక్కడ ఎంతకాలంగా ఉన్నారు?
तुम्हारी पसंदीदा मिठाई क्या है?	మీకు ఇష్టమైన మిఠాయి ఏమిటి?
आपने कौन सा नया कौशल सीखा?	మీరు కొత్త నైపుణ్యం నేర్చుకున్నారు?
क्या तुमने यात्रा की है?	మీరు పర్యటన చేశారా?
आपका घर कहाँ है?	మీ ఇల్లు ఎక్కడ ఉంది?
तुम्हारे पास कितने दोस्त हैं?	మీ దగ్గర ఎంతమంది మిత్రులు ఉన్నారు?
क्या तुम संगीत सुनते हो?	మీరు సంగీతం వినాలనుకుంటున్నారా?
मैंने एक नया प्रोजेक्ट शुरू किया।	నేను కొత్త ప్రాజెక్ట్ ప్రారంభించాను.
